year,workauthorization,country,gender,degree,college,department,major,graddate,status,employer.school,jobtitle.gradprogram,city,state.country,graddegree,useful,dateoffered,dateaccepted,jobfunction,employerindustry,numoffers
2013,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S13,E,Chrysler,Chrysler Institute of Engineering,Auburn Hills,MI,NA,internship,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,CIT,Materials Science,MSE,S13,E,Boeing,Composites Intern,Seattle,WA,NA,NA,NA,NA,Materials Engineer,manufacturing,1
2013,U.S. Citizen,United States,Male,BS,CIT,Chemical Engineering,CHE,S13,E,Aspen Technology,Associate Product Management Professional,Burlington,MA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S13,E,Microsoft,Reliability Engineer,Redmond,WA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CEE,S13,E,Schlumberger,Field Engineer,Midland,TX,NA,Job Fair/Networking,12-Oct,12-Dec,Cementing,NA,NA
2013,NA,United States,NA,BFA,CFA,Design,COMDES,S13,E,Microsoft,User Experience Designer,Midland,MI,NA,Hired from Internship Experience,40037,41590,Creative: Interaction Design,technology,1
2013,U.S. Citizen,United States,Female,BS,MCS,Biological Sciences,BSC,S13,E,National Institutes of Health,Researcher in the Laboratory of Immunology,Bethesda,MD,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,SCS,Computer Science,CS,S13,E,Google,Software Engineer,Mountain View,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Microsoft,Software Development Engineer,Seattle,WA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,Singapore,Female,BS,Dietrich,Social & Decision Sciences,DECSCI,S13,E,IBM,NA,New York,NY,NA,NA,NA,NA,NA,consulting,NA
2013,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BA,S13,E,Bank of America,Business Control Analyst,Dallas,TX,NA,NA,NA,NA,Analyst: Business Analyst,financial services/insurance,NA
2013,Non-US Citizen,Korea,Male,BS,Dietrich,Economics,ECO,F12,E,Samsung,Associate,Seoul,South Korea,NA,NA,NA,NA,Management: Management Trainee (Entry-Level Management),manufacturing,NA
2013,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BA,S13,E,PNC,Financial Analyst,Pittsburgh,PA,NA,Hired from Summer Internship,8-Jul,8-Oct,Finance: Financial Analysis,financial services/insurance,3
2013,U.S. Citizen,United States,Female,BS,CFA,Art,ART,S13,E,Disney Research,Lab Assistant,Pittsburgh,PA,NA,NA,NA,NA,NA,entertainment,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,F12,E,Intel,Graphics Software Engineer,Santa Clara,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,CIT,Mechanical Engineering,MEG,S13,E,Microsoft,emailed to get,Seattle,WA,NA,internship,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S13,E,Caterpillar,Electrical Engineering,East Peoria,IL,NA,OCR,NA,NA,Electrical/Computer,manufacturing,NA
2013,Permanent Resident,United States,Male,BS,SCS,Computer Science,CS,S13,E,Salesforce.com,"Associate Member, Technical Staff",San Francisco,CA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,F12,E,Facebook,Software Engineer,Menlo Park,CA,NA,NA,NA,NA,NA,NA,NA
2013,Non-US Citizen,Korea,Female,BS,SCS,Computer Science,CS,S13,E,Amazon,Software Development Engineer,Seattle,WA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,Dietrich,H&SS Interdisciplinary,INFOSYS,S13,E,Goldman Sachs,Application Developer,New York,NY,NA,TartanTrak,NA,NA,NA,finance,3
2013,U.S. Citizen,United States,Male,BS,CFA,Art,ART,S13,E,Disney Research,Lab Associate,Pittsburgh,PA,NA,networking,NA,NA,3D modeler / sculptor,arts and entertainment,NA
2013,U.S. Citizen,India,Male,BS,CIT,Electrical & Computer Engineering,ECE,S13,E,Oracle,Microsoft Transaction Server,Redwood City,CA,NA,NA,NA,NA,Electrical/Computer,technology,NA
2013,U.S. Citizen,United States,Female,BS,Tepper,Business Administration,BA,S13,E,Goldman Sachs,Operations Analyst,Salt Lake City,UT,NA,TartanTRAK,8-Oct,8-Nov,Management: Operations,financial services/insurance,3
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Microsoft,Software Development Engineer,Redmond,WA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,SCS,Computer Science,CS,S13,E,Microsoft,Program Manager,Redmond,WA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S13,E,Epic Systems,Technical Services,Madison,WI,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,Dietrich,H&SS Interdisciplinary,INFOSYS,S13,E,Capital One,I.T. Development,Wilmington,DE,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,BS,CIT,Electrical & Computer Engineering,ECE,S13,E,Intel,Validation Engineer,NA,CA,NA,NA,NA,NA,Electrical/Computer Engineering,technology,NA
2013,U.S. Citizen,United States,Male,BS,Dietrich,H&SS Interdisciplinary,INFOSYS,S13,E,IBM,IT Consultant,Columbus,OH,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,Tepper,Business Administration,BA,S13,E,BNY Mellon,UX Designer,New York,NY,NA,I went to their career site and applied online.,9-Apr,9-Apr,Computer Science: Computer Systems Analysis,financial services/insurance,1
2013,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CEE,S13,V,Teach for America,Corps Member/Teacher,New Orleans,LA,NA,NA,3/13/13,13-Apr,Teacher,NA,NA
2013,U.S. Citizen,United States,Male,BS,CIT,Chemical Engineering,CHE,S13,E,Accenture,System Integration Consulting Analyst,Philadelphia,PA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,Dietrich,Psychology,PSY,S13,G,TBD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,MCS,Mathematical Sciences,MSCM,S13,E,Bank of America,Quantitative Management Associate,Charlotte,NC,NA,NA,NA,NA,NA,NA,NA
